epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.529,0.42923,1.83839,1.00419,0.55559,0.55811,0.58419,0.53874,0.39056,1.5413,0.99362,0.00332678,0.00332678,0.00332678
2,210.36,0.5066,2.10671,1.04256,0.39058,0.42343,0.36127,0.31828,0.48932,2.30258,1.0781,0.00662715,0.00662715,0.00662715
3,320.437,0.58821,2.44344,1.08832,0.32624,0.40229,0.29852,0.2605,0.51092,2.504,1.10886,0.00989452,0.00989452,0.00989452
4,427.756,0.63434,2.56595,1.11781,0.34276,0.39192,0.31812,0.27959,0.48311,2.38157,1.08345,0.0098515,0.0098515,0.0098515
5,533.487,0.60504,2.37848,1.09633,0.40417,0.48952,0.41624,0.36975,0.49472,2.02658,1.10804,0.009802,0.009802,0.009802
6,643.497,0.58363,2.20727,1.08372,0.49089,0.54463,0.53247,0.47811,0.45039,1.6821,1.05011,0.0097525,0.0097525,0.0097525
7,745.614,0.56463,2.04383,1.07278,0.57246,0.58846,0.62154,0.56292,0.43885,1.46898,1.03581,0.009703,0.009703,0.009703
8,841.678,0.55278,1.92575,1.06986,0.54029,0.61928,0.63418,0.57822,0.42649,1.40476,1.0252,0.0096535,0.0096535,0.0096535
9,940.075,0.54393,1.81139,1.06361,0.5921,0.62983,0.67237,0.61388,0.41743,1.30411,1.01574,0.009604,0.009604,0.009604
10,1035.55,0.53171,1.72351,1.05549,0.68181,0.67415,0.74624,0.67892,0.42451,1.12684,1.02424,0.0095545,0.0095545,0.0095545
11,1132.39,0.5268,1.63827,1.05416,0.66562,0.69655,0.75658,0.69482,0.40376,1.11356,1.00437,0.009505,0.009505,0.009505
12,1231.52,0.52065,1.60079,1.04757,0.7148,0.70743,0.78006,0.71449,0.41587,1.03317,1.00229,0.0094555,0.0094555,0.0094555
13,1327.75,0.50956,1.51368,1.04128,0.71823,0.71525,0.79408,0.72952,0.39988,0.98311,0.994,0.009406,0.009406,0.009406
14,1423.74,0.50993,1.48507,1.04503,0.74163,0.72859,0.80831,0.74248,0.39677,0.93032,0.9913,0.0093565,0.0093565,0.0093565
15,1521.37,0.50259,1.42958,1.04102,0.76828,0.73441,0.82739,0.76139,0.39974,0.88609,0.99761,0.009307,0.009307,0.009307
16,1617.41,0.50077,1.39336,1.03861,0.7547,0.74809,0.83225,0.76931,0.38762,0.87112,0.98638,0.0092575,0.0092575,0.0092575
17,1713.43,0.49918,1.36621,1.03863,0.77277,0.77304,0.8475,0.78593,0.37408,0.79385,0.97297,0.009208,0.009208,0.009208
18,1810.21,0.49078,1.33054,1.03445,0.77559,0.77395,0.84883,0.78295,0.38935,0.80547,0.98565,0.0091585,0.0091585,0.0091585
19,1906.57,0.48801,1.3042,1.0298,0.79685,0.7758,0.85938,0.79345,0.38715,0.76599,0.98751,0.009109,0.009109,0.009109
20,2002.5,0.48239,1.27251,1.02989,0.8077,0.8099,0.87875,0.81212,0.38526,0.7222,0.98562,0.0090595,0.0090595,0.0090595
21,2099.8,0.47637,1.24388,1.0271,0.79792,0.80084,0.86956,0.80939,0.36845,0.73014,0.96982,0.00901,0.00901,0.00901
22,2195.34,0.47794,1.22049,1.02622,0.82718,0.81505,0.88739,0.82286,0.37809,0.67236,0.9742,0.0089605,0.0089605,0.0089605
23,2290.68,0.47207,1.2067,1.02374,0.81649,0.82086,0.88642,0.82441,0.36654,0.67593,0.96532,0.008911,0.008911,0.008911
24,2387.13,0.46727,1.16124,1.01616,0.81611,0.82888,0.8903,0.82745,0.37277,0.66519,0.9704,0.0088615,0.0088615,0.0088615
25,2482.21,0.47104,1.15024,1.02128,0.83583,0.8235,0.89588,0.83185,0.37397,0.64141,0.97,0.008812,0.008812,0.008812
26,2577.79,0.46465,1.11612,1.01653,0.83182,0.82262,0.89709,0.83458,0.36923,0.64068,0.96469,0.0087625,0.0087625,0.0087625
27,2674.8,0.4686,1.11723,1.02131,0.84045,0.8386,0.90035,0.83685,0.36927,0.62229,0.96519,0.008713,0.008713,0.008713
28,2770.4,0.46597,1.09732,1.0194,0.84213,0.83395,0.90012,0.83831,0.36947,0.61507,0.9654,0.0086635,0.0086635,0.0086635
29,2865.89,0.46483,1.10112,1.02245,0.84175,0.85575,0.90913,0.84833,0.36246,0.57276,0.96031,0.008614,0.008614,0.008614
30,2962.69,0.46393,1.08352,1.01963,0.8669,0.83749,0.91266,0.85186,0.3595,0.57249,0.95681,0.0085645,0.0085645,0.0085645
31,3058.08,0.45604,1.0593,1.0157,0.87623,0.83561,0.9152,0.85516,0.36219,0.55955,0.95943,0.008515,0.008515,0.008515
32,3153.59,0.46028,1.05374,1.01587,0.87105,0.8517,0.91678,0.85627,0.35813,0.54881,0.95599,0.0084655,0.0084655,0.0084655
33,3250.2,0.45272,1.03477,1.01361,0.86106,0.85916,0.91852,0.85985,0.35804,0.54267,0.95769,0.008416,0.008416,0.008416
34,3345.04,0.45294,1.02222,1.01138,0.86488,0.86227,0.92103,0.86212,0.35723,0.54225,0.95617,0.0083665,0.0083665,0.0083665
35,3440.22,0.45079,1.00314,1.01189,0.85869,0.86564,0.92341,0.86293,0.35866,0.52886,0.95722,0.008317,0.008317,0.008317
36,3536.86,0.44924,0.99133,1.00989,0.87342,0.86942,0.92767,0.86934,0.35707,0.51437,0.95567,0.0082675,0.0082675,0.0082675
37,3632.32,0.44899,0.97966,1.0082,0.8723,0.86402,0.92466,0.86619,0.35173,0.50771,0.95056,0.008218,0.008218,0.008218
38,3727.36,0.44827,0.98768,1.00878,0.8781,0.87616,0.92832,0.87022,0.35273,0.49664,0.95329,0.0081685,0.0081685,0.0081685
39,3823.88,0.45104,0.97143,1.00698,0.87567,0.87747,0.92686,0.86962,0.35252,0.4946,0.95387,0.008119,0.008119,0.008119
40,3919.5,0.44836,0.9773,1.00916,0.88924,0.87272,0.93017,0.87089,0.35278,0.49005,0.95186,0.0080695,0.0080695,0.0080695
41,4015.09,0.4438,0.94989,1.0073,0.89788,0.87172,0.93243,0.87374,0.35067,0.47636,0.94913,0.00802,0.00802,0.00802
42,4111.63,0.4432,0.95074,1.00809,0.89589,0.87287,0.93206,0.87488,0.35068,0.48281,0.9507,0.0079705,0.0079705,0.0079705
43,4206.54,0.44186,0.93004,1.00671,0.89538,0.88076,0.93407,0.87715,0.34596,0.46952,0.94597,0.007921,0.007921,0.007921
44,4301.82,0.4429,0.93903,1.00949,0.89256,0.87525,0.93275,0.87572,0.34461,0.46222,0.94513,0.0078715,0.0078715,0.0078715
45,4398.17,0.44272,0.91612,1.00458,0.9011,0.88871,0.93576,0.87757,0.35036,0.45611,0.94908,0.007822,0.007822,0.007822
46,4494.13,0.43984,0.91019,1.00462,0.8866,0.89846,0.93588,0.87831,0.3461,0.45064,0.94631,0.0077725,0.0077725,0.0077725
47,4589.7,0.44019,0.90607,1.0059,0.90231,0.88758,0.93723,0.87838,0.34805,0.44702,0.94918,0.007723,0.007723,0.007723
48,4686.28,0.43823,0.90454,1.00338,0.90589,0.88467,0.93877,0.88128,0.34515,0.43928,0.94623,0.0076735,0.0076735,0.0076735
49,4782.39,0.43698,0.89914,1.00294,0.91099,0.889,0.93892,0.88205,0.34563,0.43458,0.94566,0.007624,0.007624,0.007624
50,4877.79,0.43731,0.90282,1.00316,0.89582,0.89186,0.93835,0.88227,0.34487,0.44287,0.94632,0.0075745,0.0075745,0.0075745
51,4974.64,0.43392,0.87586,0.99975,0.90284,0.89392,0.94266,0.88597,0.34304,0.42159,0.94347,0.007525,0.007525,0.007525
52,5070.3,0.43478,0.87696,1.00203,0.905,0.89954,0.9427,0.88582,0.34384,0.42388,0.94454,0.0074755,0.0074755,0.0074755
53,5165.63,0.43055,0.87357,0.9995,0.90768,0.89911,0.94525,0.88907,0.34396,0.41742,0.94442,0.007426,0.007426,0.007426
54,5263.39,0.43228,0.86883,0.99932,0.90648,0.90464,0.94412,0.88904,0.3406,0.4117,0.94343,0.0073765,0.0073765,0.0073765
55,5358.93,0.42744,0.85988,0.9991,0.91116,0.89826,0.94496,0.88915,0.34147,0.40714,0.94378,0.007327,0.007327,0.007327
56,5454.8,0.42845,0.84466,0.9979,0.90577,0.9107,0.94542,0.89111,0.33805,0.4105,0.94034,0.0072775,0.0072775,0.0072775
57,5551.96,0.42709,0.84456,0.99657,0.91982,0.90629,0.94838,0.89328,0.3399,0.39628,0.9424,0.007228,0.007228,0.007228
58,5647.13,0.42778,0.8391,0.99884,0.92482,0.90653,0.94869,0.89277,0.33851,0.39372,0.93957,0.0071785,0.0071785,0.0071785
59,5742.57,0.42588,0.83211,0.99408,0.91029,0.91181,0.94695,0.89176,0.34039,0.39758,0.93919,0.007129,0.007129,0.007129
60,5839.73,0.42396,0.82793,0.99435,0.90903,0.91327,0.94802,0.89433,0.33437,0.39356,0.93445,0.0070795,0.0070795,0.0070795
61,5935.36,0.42725,0.83402,0.9971,0.91147,0.90597,0.94756,0.89292,0.33774,0.39365,0.93823,0.00703,0.00703,0.00703
62,6030.49,0.42495,0.81993,0.9946,0.9152,0.90771,0.94807,0.8933,0.33753,0.39056,0.93813,0.0069805,0.0069805,0.0069805
63,6127.32,0.42094,0.8138,0.99595,0.90937,0.91389,0.94763,0.89355,0.33586,0.38703,0.9366,0.006931,0.006931,0.006931
64,6222.59,0.42295,0.81552,0.99663,0.91457,0.91221,0.94895,0.89415,0.33602,0.38386,0.93795,0.0068815,0.0068815,0.0068815
65,6317.86,0.4218,0.80798,0.99285,0.91852,0.91331,0.95079,0.89628,0.33455,0.37574,0.93618,0.006832,0.006832,0.006832
66,6414.85,0.42153,0.81271,0.99464,0.9122,0.91945,0.95097,0.89744,0.33439,0.37651,0.93608,0.0067825,0.0067825,0.0067825
67,6509.76,0.41993,0.80338,0.99443,0.91206,0.91955,0.95155,0.89813,0.33423,0.37483,0.93629,0.006733,0.006733,0.006733
68,6605.61,0.41891,0.78241,0.98963,0.91423,0.91606,0.95011,0.89559,0.33523,0.37706,0.93733,0.0066835,0.0066835,0.0066835
69,6702.58,0.42078,0.79034,0.99326,0.91592,0.91926,0.95073,0.89749,0.33353,0.37278,0.93515,0.006634,0.006634,0.006634
70,6797.88,0.4225,0.78218,0.99328,0.92535,0.91588,0.95111,0.89832,0.33151,0.36728,0.93378,0.0065845,0.0065845,0.0065845
71,6893.58,0.41963,0.77962,0.99573,0.92016,0.91869,0.95188,0.89911,0.33243,0.36645,0.93444,0.006535,0.006535,0.006535
72,6989.69,0.42251,0.7832,0.99724,0.91979,0.91866,0.95287,0.90025,0.33273,0.36352,0.93407,0.0064855,0.0064855,0.0064855
73,7084.66,0.41609,0.76498,0.9909,0.91915,0.91875,0.95204,0.90038,0.33136,0.36473,0.93264,0.006436,0.006436,0.006436
74,7179.72,0.41533,0.76126,0.99051,0.9276,0.90852,0.95085,0.89903,0.32983,0.3671,0.93134,0.0063865,0.0063865,0.0063865
75,7277.08,0.41174,0.75787,0.99154,0.92098,0.91204,0.95076,0.89791,0.33217,0.37047,0.9338,0.006337,0.006337,0.006337
